FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,toilettype_design,handicapadgang,aabningstid_doegn,aabningsperiode,status,grafitti_ansvarlig,driftsbydel,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_tmf_kk.58,58,Ålholm Plads,Ålholm Plads 2,2500 Valby,Toilet,AFA søjle,Nej,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Valby,719391.75804475,6175136.26204969,12.48904112,55.67237669,POINT (12.489041117559102 55.672376725463394)
toilet_puma_agg_tmf_kk.59,59,"Nyboder, Gammel Vagt ifm legeplads ubemandet",Olfert Fischers Gade 40,1311 København K,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725367.4819514,6177143.49192143,12.58551705,55.68764203,POINT (12.585517049547004 55.687642059425656)
toilet_puma_agg_tmf_kk.60,60,Kultorvet,Kultorvet  9B,1175 København K,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,724668.50059127,6176512.31238977,12.57390391,55.68230559,POINT (12.573903910365372 55.68230561932789)
toilet_puma_agg_tmf_kk.61,61,Blågårds Plads,Blågårds Plads  11,2200 København N,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,723551.14370413,6176913.4666674,12.55649498,55.6864188,POINT (12.556494979030361 55.686418832139786)
toilet_puma_agg_tmf_kk.62,62,Sporsløjfen,Østerbrogade 244,2100 København Ø,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724733.04888334,6180145.57500043,12.57790728,55.71485837,POINT (12.57790728363947 55.71485840506912)
toilet_puma_agg_tmf_kk.63,63,Islands Brygge ovf nr 37,Islands Brygge 20A,2300 København S,Toilet,AFA søjle,Nej,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Amager Vest,724791.66251798,6174613.5881337,12.57430414,55.66522098,POINT (12.574304138078062 55.66522100856159)
toilet_puma_agg_tmf_kk.64,64,Overgaden Oven Vandet,Overgaden Oven Vandet 64A,1415 København K,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,726062.18563902,6175781.4759729,12.5954231,55.67510493,POINT (12.595423102472896 55.675104958949156)
toilet_puma_agg_tmf_kk.65,65,Ørstedsparken V. Caféen,Nørre Farimagsgade  6,1364 København K,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,724182.47181943,6176505.64607239,12.5661838,55.6824704,POINT (12.56618379729538 55.68247043670036)
toilet_puma_agg_tmf_kk.66,66,"Gunløgsgade, Legeplads",Gunløgsgade 26B,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Vest,725111.98305415,6174566.29312113,12.57934751,55.66464856,POINT (12.579347505083659 55.664648595582406)
toilet_puma_agg_tmf_kk.67,67,Mimersparken,Borgmestervangen 51,2200 København N,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,722496.07722101,6178900.82618569,12.54135874,55.70472649,POINT (12.541358742602892 55.7047265243933)
toilet_puma_agg_tmf_kk.68,68,"Kornblomsparken, legeplads",Øselsgade 5,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Amager Vest,726462.54012057,6174234.66977028,12.600501,55.66104719,POINT (12.60050099506587 55.661047226754555)
toilet_puma_agg_tmf_kk.69,69,"Blegdamsremisen, indendørs legeplads",Blegdamsvej 132A,2100 København Ø,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724744.1910979,6178289.17288068,12.57656143,55.69820526,POINT (12.576561434165866 55.69820529565502)
toilet_puma_agg_tmf_kk.70,70,ByOasen legeplads,Møllegade  25E,2200 København N,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,723566.24644999,6177571.20491023,12.55727088,55.6923105,POINT (12.557270884361316 55.69231052781979)
toilet_puma_agg_tmf_kk.71,71,"Hulgårds Plads , Legeplads",Hulgårds Plads 6,2400 København NV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Bispebjerg,721271.48589051,6178844.99280272,12.52186387,55.70478572,POINT (12.521863866023583 55.70478575711555)
toilet_puma_agg_tmf_kk.72,72,Degnestavnen,Degnestavnen 20,2400 København NV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Bispebjerg,721430.97520154,6179502.55154639,12.52492849,55.7106102,POINT (12.524928493628924 55.710610230710245)
toilet_puma_agg_tmf_kk.73,73,"Fælledparken, Soppesøen",Edel Sauntes Allé 9,2100 København Ø,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Østerbro,723950.91834467,6178492.83772825,12.56413121,55.7003984,POINT (12.564131205096224 55.70039843499717)
toilet_puma_agg_tmf_kk.74,74,"Fælledparken, Tårnlegepladsen",Frederik V's Vej 4,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724329.65947709,6178174.68182383,12.56988529,55.69737028,POINT (12.569885291546385 55.69737031617197)
toilet_puma_agg_tmf_kk.75,75,Enghaveparken,Ejderstedgade 3,1761 København V,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),722690.08139343,6174795.12451993,12.54110699,55.66781665,POINT (12.541106994936449 55.667816683524194)
toilet_puma_agg_tmf_kk.76,76,BaNanna Park,Nannasgade 6,2200 København N,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,723015.96244129,6178386.95308968,12.54919751,55.69987935,POINT (12.549197513397857 55.69987938319143)
toilet_puma_agg_tmf_kk.77,77,Legeplads Grøndal Parken ved Langdraget,Grøndals Parkvej 125,2720 Vanløse,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Vanløse,719488.70032471,6176135.99754753,12.49137906,55.68129927,POINT (12.491379055579353 55.68129930053593)
toilet_puma_agg_tmf_kk.78,78,"Formosavej 3, Trafiklegeplads",Formosavej 2,2300 København S,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,728232.15020954,6173044.69004365,12.62758471,55.6495484,POINT (12.627584706377684 55.649548437121645)
toilet_puma_agg_tmf_kk.79,79,Enghaveparken,Ejderstedgade 5,1761 København V,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),722662.64984735,6174679.74952424,12.54057819,55.66679451,POINT (12.540578188226407 55.66679454023251)
toilet_puma_agg_tmf_kk.80,80,Det Flydende Aktivitetshus,Sandkaj 30,2150 Nordhavn,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,726007.90333338,6179254.89433171,12.59742416,55.70627874,POINT (12.597424158295583 55.70627877649286)
toilet_puma_agg_tmf_kk.81,81,Sydhavn Station,Ernst Kapers Vej 1,2450 København SV,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,722543.40833658,6173371.11297549,12.53762621,55.65511288,POINT (12.537626214361726 55.65511291367158)
toilet_puma_agg_tmf_kk.82,82,Den Brune Kødby,Halmtorvet 9C,1700 København V,Toilet,Cph Urban (sæson eller helårs),Nej,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),723972.11880059,6175107.4187806,12.56170397,55.67002809,POINT (12.56170397428177 55.67002812473891)
toilet_puma_agg_tmf_kk.83,83,Nuuks Plads,Hiort Lorenzens Gade 10,2200 København N,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,722663.64421972,6177069.81997892,12.54253292,55.68822879,POINT (12.542532919794366 55.68822882701627)
toilet_puma_agg_tmf_kk.84,84,Kulværket,Kulbanevej  16,2500 Valby,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Valby,719571.41793121,6173369.600434,12.49048019,55.65645078,POINT (12.490480189751684 55.65645081135573)
toilet_puma_agg_tmf_kk.85,85,Saxoparken,Matthæusgade 8,1666 København V,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),723332.49114934,6175070.15371265,12.55152397,55.66998832,POINT (12.55152396824963 55.66998835494164)
toilet_puma_agg_tmf_kk.86,86,Mimers Plads,Mimers Plads 14,2200 København N,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen;TMF (Kontrakter),Nørrebro,722309.04733077,6178491.08122078,12.53805584,55.70113752,POINT (12.538055841364589 55.70113755452815)
toilet_puma_agg_tmf_kk.87,87,,Nørrebrogade 211,2200 København N,Toilet,Midlertidigt toilet – Indlejet,Nej,Døgnåbent,Midlertidigt åbent;Vinterlukket,IDrift;TagetPermanentUdAfDrift,,Nørrebro,722533.10764875,6178243.18491854,12.54141286,55.69881165,POINT (12.54141285816413 55.69881167836192)
toilet_puma_agg_tmf_kk.88,88,Nørrebros runddel  Metrostation - Graverboligen Assistens Kirkegård,Nørrebrogade 67,2200 København N,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,723026.78109658,6177670.23231559,12.54878622,55.69344672,POINT (12.5487862244489 55.69344675517946)
toilet_puma_agg_tmf_kk.89,89,Valbyparken strand,Tudsemindevej 41,2450 København SV,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,721698.51019968,6171382.40658311,12.52262073,55.63766327,POINT (12.52262073024155 55.6376633075501)
toilet_puma_agg_tmf_kk.90,90,Vibenhus Runddel,Øster Allé 62,2100 København Ø,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,723917.87847274,6179126.02795576,12.56412393,55.70609209,POINT (12.564123930351926 55.70609212518633)
toilet_puma_agg_tmf_kk.91,91,Vester Kirkegård V. Teater,"Sydbanestien 24, Øster kapel (Teater)",2500 Valby,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,722273.72094385,6173287.79476972,12.53328094,55.65448904,POINT (12.533280939023383 55.65448906800871)
toilet_puma_agg_tmf_kk.92,92,Byskoven/Madpakke Huset,Selinevej 18,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen;TMF (Kontrakter),Amager Vest,721936.59070797,6169747.6233071,12.52507765,55.62289321,POINT (12.525077649337227 55.62289324167811)
toilet_puma_agg_tmf_kk.93,93,Havneslusen Nord/Grejbanken,Ved Slusen 8,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Vest,723729.80526538,6172216.4281279,12.5555054,55.64421295,POINT (12.555505397583461 55.644212983255905)
toilet_puma_agg_tmf_kk.94,94,Østre Anlæg Legeplads,Stockholmsgade 24,2100 København Ø,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,724945.06651724,6177449.67159915,12.5790624,55.69058368,POINT (12.579062403970763 55.6905837158796)
toilet_puma_agg_tmf_kk.95,95,Skjolds Plads,Skjolds Plads 1,2200 København N,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,722992.8643786,6178794.43478231,12.54916227,55.70354432,POINT (12.549162273510685 55.70354434913803)
toilet_puma_agg_tmf_kk.96,96,Vester Kirkegård - Nordre Kapel,"Vestre Kirkegårds Allé 15B, Nordre Kapel",2450 København SV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,721935.18425345,6174020.94917555,12.52850308,55.66121893,POINT (12.528503079345018 55.66121895920246)
toilet_puma_agg_tmf_kk.97,97,Nørrebro Station,Frederikssundsvej 1A,2200 København N,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Bispebjerg,722285.43252359,6178456.80287329,12.53765301,55.70084092,POINT (12.537653012261588 55.700840954612566)
toilet_puma_agg_tmf_kk.98,98,V. Domhuset,Nytorv 29B,1450 København K,Toilet,Cph Urban (sæson eller helårs),Nej,Døgnåbent,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,724615.51540185,6175985.76753403,12.57263192,55.67760807,POINT (12.572631919610012 55.67760810597591)
toilet_puma_agg_tmf_kk.99,99,Nørrebroparken,Hillerødgade 13B,2200 København N,Toilet,Standardtoilet Zenzo,Nej,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,722547.50543069,6178020.15229467,12.54146042,55.69680484,POINT (12.541460421909612 55.69680487169211)
toilet_puma_agg_tmf_kk.100,100,"Fælledparken, ""Dansepladsen""",Edel Sauntes Allé 23,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Østerbro,723982.45766901,6178999.88379349,12.56504649,55.70493103,POINT (12.565046490068 55.704931061134275)
toilet_puma_agg_tmf_kk.101,101,Dronning Louises Bro,Sortedam Dossering 2,2200 København N,Toilet,Toiletvogn/pavillon,Nej,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,723935.39760176,6177040.88396534,12.56269888,55.68738443,POINT (12.562698884327947 55.687384458349264)
toilet_puma_agg_tmf_kk.102,102,Hørdumsgade,Enghavevej 198,1500 København V,Toilet,Toiletvogn/pavillon,Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,722571.02860451,6173274.83439006,12.53798638,55.65423678,POINT (12.537986375290911 55.65423681231075)
toilet_puma_agg_tmf_kk.103,103,Marmorkirken,Frederiksgade 3,1265 København K,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725608.55943758,6176891.15989511,12.58913654,55.68526722,POINT (12.589136544086456 55.685267250211254)
toilet_puma_agg_tmf_kk.104,104,Tåsinge Plads,Tåsingegade 43A,2100 København Ø,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift;TagetPermanentUdAfDrift,TMF (Kontrakter),Østerbro,724141.80833062,6179590.13353447,12.56806023,55.71015078,POINT (12.568060232127737 55.71015080914238)
toilet_puma_agg_tmf_kk.105,105,Poul Henningsens Plads,Reersøgade 5,2100 København Ø,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724658.84549708,6179555.56459384,12.57624451,55.70960162,POINT (12.576244505729875 55.709601650090846)
toilet_puma_agg_tmf_kk.106,106,Kulbaneparken,Hornemanns Vænge 3,2500 Valby,Toilet,Standardtoilet Zenzo,Nej,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Valby,719836.20115993,6173507.73597996,12.49479112,55.65757001,POINT (12.494791116847345 55.65757003976613)
toilet_puma_agg_tmf_kk.107,107,Estlandsgade 2,Estlandsgade 2,1724 København V,Toilet,ECO toilet,Nej,Døgnåbent,Midlertidigt åbent,IkkeSatIDriftEndnu,TMF (Kontrakter),Amager Vest,722172.73233525,6169736.273419,12.52881122,55.62268368,POINT (12.528811224149358 55.62268371751544)
toilet_puma_agg_tmf_kk.108,108,Axeltorv ved Cirkusbygningen,Jernbanegade 10,1608 København V,Toilet,AFA søjle,Nej,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Indre By,724119.83842792,6175766.52914624,12.56458603,55.6758709,POINT (12.56458602670022 55.67587093147401)
toilet_puma_agg_tmf_kk.109,109,Enghave Brygge metrotoilet,Bertha von Suttners Vej 3,2450 København SV,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),723738.98362341,6173315.77100006,12.5565455,55.6540678,POINT (12.556545496214337 55.654067830017546)
toilet_puma_agg_tmf_kk.110,110,Handicaptoilet forbeholdt borgere med svære handicap,Vester Søgade 2A,1601 København V,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,723772.87788321,6175611.47237127,12.55895323,55.67464029,POINT (12.558953230783938 55.67464032470705)
toilet_puma_agg_tmf_kk.111,111,Kildevældsparken,Vognmandsmarken 69,2100 København Ø,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,723929.39665174,6180059.86521488,12.56507032,55.71446141,POINT (12.565070323617425 55.71446143799419)
toilet_puma_agg_tmf_kk.112,112,København Syd metrotoilet,Carl Jacobsens Vej 17W,2500 Valby,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Valby,721269.97055051,6173018.19882232,12.51714201,55.65252905,POINT (12.517142011120075 55.6525290867532)
toilet_puma_agg_tmf_kk.113,113,;Hamborg Plads,Hamborg plads 1; Hamborg Plads 1,2150 Nordhavn,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,725937.36522185,6179417.64454615,12.59643809,55.70777108,POINT (12.59643808762793 55.70777111686209)
toilet_puma_agg_tmf_kk.114,114,Nørreport v. Netto,Nørre Voldgade 23A,1358 København K,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,724599.06765105,6176688.45459171,12.57294601,55.68391733,POINT (12.572946005772236 55.68391736657038)
toilet_puma_agg_tmf_kk.115,115,Mobilt Toilet UBT Unisex,Mobilt Toilet UBT Unisex,1550 København V,Toilet,Mobilt toilet – Eget af TMF,Nej,Døgnåbent,Midlertidigt åbent,IkkeSatIDriftEndnu,,Amager Øst,726598.989513,6175100.56133637,12.60337987,55.66874862,POINT (12.603379874597572 55.66874865649468)
toilet_puma_agg_tmf_kk.116,116,Mobilt UBT toilet vogn Handicap,Mobilt UBT toilet vogn Handicap,,Toilet med handicapadgang,Mobilt toilet – Eget af TMF,Ja,Døgnåbent,Midlertidigt åbent,IkkeSatIDriftEndnu,,Amager Øst,726606.59009251,6175106.52555918,12.60350539,55.66879856,POINT (12.603505392457075 55.668798597004084)
toilet_puma_agg_tmf_kk.117,117,Dykkerstien 8,Dykkerstien 8,2300 København S,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IkkeSatIDriftEndnu,TMF (Kontrakter),Amager Øst,729420.01012207,6173268.23049389,12.64660865,55.65099396,POINT (12.646608645375972 55.650993990497)
toilet_puma_agg_tmf_kk.118,118,Christianshavns Torv,Torvegade 48,1400 København K,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift;MidlertidigUdeAfDrift,Renhold City Middelalderbyen,Indre By,725852.04271767,6175424.13849143,12.59179427,55.67199815,POINT (12.591794271264249 55.671998187624965)
toilet_puma_agg_tmf_kk.119,119,Lundehustorvet,Strødamvej 2,2100 København Ø,Toilet,Toiletvogn/pavillon,Nej,Døgnåbent,Helårsåbent,IkkeSatIDriftEndnu,TMF (Kontrakter),Bispebjerg,723357.59930671,6180450.82623236,12.55630565,55.71823119,POINT (12.556305650059526 55.71823122706413)
toilet_puma_agg_tmf_kk.120,120,Kranparken,Sundkrogsgade 23,2150 Nordhavn,Toilet,Standardtoilet Zenzo,Nej,Døgnåbent,Helårsåbent,IkkeSatIDriftEndnu,TMF (Kontrakter),Østerbro,725736.02489945,6180215.26181404,12.59389765,55.71501758,POINT (12.593897648842828 55.715017616312736)
toilet_puma_agg_tmf_kk.121,121,Sluseholmen Metro St. Unisex;Sluseholmen Metro St. Unisex Handicap,"Sluseholmen Metro St. I,",2450 København SV,Toilet,Standardtoilet Zenzo,Nej,Døgnåbent,Helårsåbent,IkkeSatIDriftEndnu,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,722978.27688761,6172365.77415198,12.54370887,55.64589747,POINT (12.543708871690338 55.645897505426014)
toilet_puma_agg_tmf_kk.122,122,"Christiansborg Slotsplads, Holmensbro",Christiansborg Slotsplads 2,1218 København K,Toilet,AFA søjle,Nej,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Indre By,725216.68712622,6175907.23676717,12.58210852,55.67662546,POINT (12.58210851658981 55.67662548805128)
toilet_puma_agg_tmf_kk.123,123,Gammel Torv,Gammeltorv 22F,1457 København K,Toilet,AFA søjle,Nej,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Indre By,724546.53274695,6176042.06536784,12.57158316,55.67814484,POINT (12.571583162783217 55.67814487664626)
toilet_puma_agg_tmf_kk.124,124,Gråbrødre Torv,Kejsergade 6,1155 København K,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen;TMF (Kontrakter),Indre By,724778.38811617,6176259.4432252,12.57544099,55.67998703,POINT (12.575440989653039 55.6799870635021)
toilet_puma_agg_tmf_kk.125,125,Assistents Kirkegård,Kapelvej 2,2200 København N,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,723319.55214481,6177243.81842231,12.55308748,55.689488,POINT (12.553087482460283 55.68948803279741)
toilet_puma_agg_tmf_kk.126,126,"Remiseparken, Bonderen & Byggeren",Peder Lykkes Vej 71,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Vest,726356.5038684,6173302.25951335,12.59805091,55.65273499,POINT (12.59805090675713 55.65273502554375)
toilet_puma_agg_tmf_kk.127,127,Gunløgsgade,Gunløgsgade 26A,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Vest,725121.91508553,6174579.10174411,12.57951558,55.66475883,POINT (12.579515578971579 55.66475886116535)
toilet_puma_agg_tmf_kk.128,128,Sankt Hans Torv,Nørre Allé 2,2200 København N,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,723823.79106149,6177479.80510117,12.56128533,55.69137215,POINT (12.561285326044153 55.691372179717625)
toilet_puma_agg_tmf_kk.129,129,Ved Sølvtorvet,Stockholmsgade 2,2100 København Ø,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,724726.42790046,6177308.35776596,12.57547549,55.68941765,POINT (12.575475489850632 55.689417679471426)
toilet_puma_agg_tmf_kk.130,130,"Vester Søgade, o.f. Planetariet",Vester Søgade 2,1601 København V,Toilet med handicapadgang,AFA toilet,Ja,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Indre By,723773.02732995,6175630.09980759,12.55897079,55.67480728,POINT (12.558970786632257 55.6748073082445)
toilet_puma_agg_tmf_kk.131,131,"Skydebanehaven, legeplads",Absalonsgade 12,1658 København V,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),723489.7394885,6175130.17873896,12.55406806,55.67045433,POINT (12.554068055878547 55.67045436262217)
toilet_puma_agg_tmf_kk.132,132,"Christianshavns Vold, Elefantens bastion",Christianshavns Voldgade 36B,1424 København K,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725919.47916322,6175206.96576138,12.59268569,55.67001925,POINT (12.592685686595512 55.67001928166818)
toilet_puma_agg_tmf_kk.133,133,"Enghaveparken, legeplads",Ejderstedgade 1,1761 København V,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave (udl.),722726.67309496,6174808.79508894,12.5416987,55.66792248,POINT (12.541698698229162 55.66792251359272)
toilet_puma_agg_tmf_kk.134,134,"Ørstedsparken, legeplads",Nørre Farimagsgade 2,1364 København K,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,724095.49738793,6176280.8300688,12.56461965,55.68049439,POINT (12.564619654152894 55.680494424140676)
toilet_puma_agg_tmf_kk.135,135,"Fælledparken, Trafiklegepladsen",Gunnar Nu Hansens Plads 10,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724339.41011446,6179016.39277622,12.57072912,55.70491418,POINT (12.570729121262374 55.70491421604087)
toilet_puma_agg_tmf_kk.136,136,Rådhuspladsen 5-7,Rådhuspladsen 5,1550 København V,Toilet med personale og handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen;TMF (Kontrakter),Indre By,724357.34809667,6175830.84219712,12.56840793,55.67633802,POINT (12.568407930020534 55.676338051816316)
toilet_puma_agg_tmf_kk.137,137,Nørreport station,Nørre Voldgade 15A,1358 København K,Toilet med personale og handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent;Natlukket,Helårsåbent,IDrift;TagetPermanentUdAfDrift,Renhold City Middelalderbyen;TMF (Kontrakter),Indre By,724501.24655821,6176586.4514191,12.57130978,55.68304781,POINT (12.57130978429616 55.68304783958569)
toilet_puma_agg_tmf_kk.138,138,"Valbyparken, ved restaurant",Hammelstrupvej 98,2450 København SV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Valby,721525.02494551,6171839.93632196,12.52023842,55.64184567,POINT (12.520238416158765 55.64184570174057)
