"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"795","Hillerød bibliotek, Christiansgade 1","3400","Hillerød","55.927552","12.297714","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: I bibliotekets vandrehal
Åbningstider: man-tors 10-18, fre-lør 10-14, søndag lukket
Ansvarlig: teknisk serviceleder på biblioteket tlf: 72325800
1 dame, 2 unisex, 2 handicap","Hillerød","sites/default/files/images/1/2021/01/bibliotek1.jpegsites/default/files/images/1/2021/01/bibliotek2.jpeg"
"803","P-hus øst, Østergade 3","3400","Hillerød","55.929916","12.304931","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: ?
Åbningstider: ?
Meget ulækkert
Toilet er IKKE kommunens ansvar","Hillerød","sites/default/files/images/1/2021/02/p-husost.jpegsites/default/files/images/1/2021/02/p-husost2.jpeg"
"799","Posen, Slotsgade 40","3400","Hillerød","55.931532","12.300251","Handicap","Nej","Nej","Ja","Nej","Ja","Placering: ?
Åbningstider: 7 -22
1 dame, 1 herre, 1 handicap","Hillerød","sites/default/files/images/1/2021/02/posen.jpegsites/default/files/images/1/2021/02/posen2.jpeg"
"801","Skansekirkegård, Skansevej 113","3400","Hillerød","55.935469","12.333538","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: Hvid bygning overfor p-plads, nedgang af brostensrampe eller trappe
Åbningstider: man-torsdag 7-14.30, fredag 7-12, lør- og søndag lukket
1 handicaptoilet","Hillerød","sites/default/files/images/1/2021/02/skansevejkapel.jpegsites/default/files/images/1/2021/02/skansevejkapel2.jpeg"
"797","Slotsarkaderne ved P-hus nord","3400","Hillerød","55.929885","12.299010","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Slotsarkaderne ved Humac Frederiks Torv 
Åbningstider: 6-24
1 dame, 1 herre, 1 handicap
Toilet er IKKE kommunens ansvar","Hillerød","sites/default/files/images/1/2021/02/slotsarkadernep-husnord.jpeg"
"796","Slotsarkaderne ved P-hus syd","3400","Hillerød","55.928201","12.297378","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Ved udgang fra arkaderne mod P-hus syd
Åbningstider: 6-24
Ansvarlig: Vagtpersonale, telefonnr. 28 18 46 46
1 dame, 1 herre, 1 handicap
Toilet er IKKE kommunens ansvar","Hillerød","sites/default/files/images/1/2021/02/slotsarkadernep-hussyd.jpeg"
"800","Torvet","3400","Hillerød","55.929335","12.302841","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: Mobil toiletvogn
Åbningstider: 7 -22
Ansvarlig: Rådighedsvagten Hillerød kommune 72328765
Unisex + handicap i ét","Hillerød","sites/default/files/images/1/2021/02/torvet2.jpeg"
"804","Hillerød Kirkegård, Østergade 10","3400","Hillerød","55.929489","12.305935","Unisex","Nej","Nej","Nej","Nej","Ja","Placering: ?
Åbningstider: 7-16 i hverdage, lukket i weekender.
1 herre 1 dame","Hillerød","sites/default/files/images/1/2021/02/hillerodkirkegard.jpg"
"802","Nyhuse Kapel, Kapelvej ","3400","Hillerød","55.936681","12.287592","Unisex","Nej","Nej","Nej","Nej","Ja","Placering: Bagsiden af kapel
Åbningstider: Hverdage 7-14.30, lør- og søndag lukket
1 dame, 1 herre","Hillerød","sites/default/files/images/1/2021/02/nyhusekapel.jpegsites/default/files/images/1/2021/02/nyhusekapel2.jpeg"
