"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"203","Moseskellet 47","2400","København NV","55.722051","12.522914","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Moseskellet
Åbningstider:
Åbent fra 1. april til 30. september
9.00 til 21:00 (19.00 om vinteren)
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/moseskellet47.jpg"
"204","Mosesvinget 1","2400","København NV","55.712979","12.504840","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Mosesvinget
Åbningstider:
Åbent fra 1. april til 30. september
Ca. 9.00 til 21:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/mosesvinget1.jpg"
"355","Nordrupvej 16","2700","Brønshøj","55.704234","12.470960","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Bemandet legeplads Husumparken
Åbningstider:
mandag: Følger legepladsens åbningstider
tirsdag: Følger legepladsens åbningstider
onsdag: Følger legepladsens åbningstider
torsdag: Følger legepladsens åbningstider
fredag: Følger legepladsens åbningstider
loerdag: Følger legepladsens åbningstider
soendag: Følger legepladsens åbningstider
doegnaabent: Nej
bemaerkning: sommersæsonen (maj-september) hverdage kl. 9.30-18.00 og søndag kl. 10-15 (undtagen juli). I vintersæsonen (november -februar) åbent 9.30-16 i hverdage. I mellemsæsonen(marts, april og oktober) åbent hverdage kl. 9.30-17.
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/nordrupvej16.jpg"
"172","Nørre Farimagsgade 6","1364","København K","55.682474","12.566183","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Ørstedsparken, ved caféen
Åbningstider:
Åbent fra 1. april til 30. september
10:00 - Cafeen lukker
Toilettet følger caféens åbningstider. Cafeen lukker alt afhængig af vejret
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/noerre-farimagsgade6.jpg"
"175","Olfert fischers gade 40","1311","København K","55.687614","12.585553","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Gade, Nyboder, Gammel Vagt
Åbningstider:
Ca. 9.00 til 21:00 (19.00 om vinteren)
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/olfert-fischers-gade40.jpg"
"353","Peder Lykkes Vej 73","2300","København S","55.652669","12.597272","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Bemandet legeplads Remiseparken, Byggelegepladsen
Åbningstider:
mandag: Følger legepladsens åbningstider
tirsdag: Følger legepladsens åbningstider
onsdag: Følger legepladsens åbningstider
torsdag: Følger legepladsens åbningstider
fredag: Følger legepladsens åbningstider
loerdag: Følger legepladsens åbningstider
soendag: Følger legepladsens åbningstider
doegnaabent: Nej
bemaerkning: Sommersæson maj-okt (uge 18-42) mandag-onsdag og fredag kl. 9.30-18.00, torsdag kl. 9.30-20.00, lørdag kl. 10.00-16.00. Mellemsæson (uge 10-17 + uge 43-45) mandag-fredag kl. 9.30-17.00. Vintersæson nov-feb (uge 46-9) mandag-fredag kl. 10.00-16.30
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/peder-lykkes-vej73.jpg"
"208","Rødkildevej 15","2400","København NV","55.699655","12.511380","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Rødkildeparken
Åbningstider:
Åbent fra 1. april til 30. september
Ca. 9.00 til 21:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/roedkildevej15.jpg"
"323","Serridslevvej 15","2100","København Ø","55.705954","12.572823","Unisex","Nej","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Fælledparken, Seridsslevvej syd
Åbningstider:
Åbent fra 1. april til 30. september
Ca. 9.00 til 21:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/serridslevvej15.jpg"
"358","Stefansgade 30","2200","København N","55.694184","12.541991","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Bemandet legeplads Nørrebroparken
Åbningstider:
mandag: Følger legepladsens åbningstider
tirsdag: Følger legepladsens åbningstider
onsdag: Følger legepladsens åbningstider
torsdag: Følger legepladsens åbningstider
fredag: Følger legepladsens åbningstider
loerdag: Følger legepladsens åbningstider
soendag: Følger legepladsens åbningstider
doegnaabent: Nej
bemaerkning: Sommersæsonen (maj-september) hverdage 9-18 og lørdag 10-17. i skolernes sommerferie er der også åbent søndag kl 10-17. I vintersæsonen (oktober-april) åbent hverdage 9-16.30.
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/stefansgade30.jpg"
"214","Stengade 48","2200","København N","55.687270","12.554982","Unisex","Nej","Nej","Ja","Nej","Ja","Placering: Gade, Folkets park
Åbningstider:
Helårsåbent: ja
Døgnåbent: Ja
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/1/2015/07/img0646.jpgsites/default/files/images/1/2015/07/img0647.jpgsites/default/files/images/3/2015/07/pe1319-1024x682.jpgsites/default/files/images/3/2015/07/pe1389-1024x682.jpg"
"176","Stockholmsgade 26","2100","København Ø","55.690613","12.579121","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Østre Anlæg, nær legeplads
Åbningstider:
Åbent fra 1. april til 30. september
9.00 til 21:00 (19.00 om vinteren)
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/stockholmsgade26.jpg"
"39","Vesterbrogade 47","1620","København V","55.672196","12.555008","Unisex","Nej","Ja","Ja","Ja","Ja","Placering: Gade, Underjordisk Vesterbro Torv
Åbningstider:
9.00-16.00 mandag-fredag, lukket i weekenden (kun åbent ved større arrangementer)
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/
Underjordisk toilet - Dametoilet til højre og Herretoilet til venstre","København","sites/default/files/images/3/2011/03/07-08-201312-27-43_0.jpgsites/default/files/images/3/2011/03/foto.jpgsites/default/files/images/3/2011/03/foto2.jpgsites/default/files/images/3/2011/03/58033310151710622550774856209872n.jpgsites/default/files/images/3/2011/03/922733101517106224907741306341850n.jpgsites/default/files/images/3/2011/03/vtdamesidenedgang.jpgsites/default/files/images/3/2011/03/foto3.jpg"
"327","Vestre Kirkegårds Allé 15","2450","København SV","55.662010","12.530759","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Vestre Kirkegård https://www.kk.dk/artikel/vestre-kirkeg%C3%A5rd-mellem-sydhavnen-valby-o...
Åbningstider:
mandag: 7.00 - 22.00 / 7.00 - 19.00
tirsdag: 7.00 - 22.00 / 7.00 - 19.00
onsdag: 7.00 - 22.00 / 7.00 - 19.00
torsdag: 7.00 - 22.00 / 7.00 - 19.00
fredag: 7.00 - 22.00 / 7.00 - 19.00
loerdag: 7.00 - 22.00 / 7.00 - 19.00
soendag: 7.00 - 22.00 / 7.00 - 19.00
doegnaabent: Nej
bemaerkning: Vinterhalvåret (oktober-marts) 07:00-19:00 Sommerhalvåret (april-september) 07:00-22:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/vestre-kirkegaards-alle15.jpg"
"181","Vigerslevvej 346","2500","Valby","55.646122","12.495449","Unisex","Ved ikke","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Vigerslevvej
Åbningstider:
Åbent fra 1. april til 30. september
Ca. 9.00 til 21:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/vingerslevvej346.jpg"
"356","Vognmandsmarken 69","2100","København Ø","55.714445","12.565102","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Bemandet legeplads Kildevældsparken
Åbningstider:
mandag: Ca. 9.00 - 21.00 (19.00 om vinteren)
tirsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
onsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
torsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
fredag: Ca. 9.00 - 21.00 (19.00 om vinteren)
loerdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
soendag: Ca. 9.00 - 21.00 (19.00 om vinteren)
doegnaabent: Nej
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/vognmandsmarken69.jpg"
"360","Wesselsgade 12","2200","København N","55.685969","12.559995","Unisex","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Bemandet legeplads Wesselsgade
Åbningstider:
mandag: Følger legepladsens åbningstider
tirsdag: Følger legepladsens åbningstider
onsdag: Følger legepladsens åbningstider
torsdag: Følger legepladsens åbningstider
fredag: Følger legepladsens åbningstider
loerdag: Følger legepladsens åbningstider
soendag: Følger legepladsens åbningstider
doegnaabent: Nej
bemaerkning: Sommersæsonen (maj-september) mandag-fredag kl. 9.30-17.30 og søndag kl. 10-17. I vintersæsonen (oktober - april) åbent på hverdage fra kl. 9.30-17.
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/wesselsgade12.jpg"
"133","Ørestads Boulevard 39","2300","København S","55.638528","12.583093","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Bella Center Station
Åbningstider:
helaarsaabent: Ja
doegnaabent: Ja
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2013/03/oerestads-boulevart39.jpg"
"37","Ålholm Plads 2","2500","Valby","55.672384","12.489110","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Ålholm Plads
Åbningstider:
helaarsaabent: Ja
doegnaabent: Ja
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2011/03/aalholm-plads2.jpg"
