"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"458","Kirkepladsen 2B","3720","Åkirkeby","55.070477","14.920519","Handicap","Nej","Nej","Ved ikke","Nej","Ja","Placering: ved Åkirkeby Grillen.
Åbningstider: Dørlås med ur. Fra 1. maj til 1. okt. kl. 7:00 - 22:00.
1.okt. til 1. maj kl. 7:00 - 19:00.","Bornholm","sites/default/files/images/475/2017/07/kirkepladsen2b_0.jpg"
"721","Kirkevej 10D","3720","Åkirkeby","55.073191","14.814172","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Nylars kirke
Regional cykelrute 10
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/nylars.jpg"
"441","Klemens Storegade 2","3782","Klemensker","55.175204","14.804564","Handicap","Nej","Nej","Ved ikke","Nej","Ved ikke","Placering: Ved busholdeplads i Klemensker.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/klemensstoregade23_0.jpgsites/default/files/images/475/2017/06/klemensstoregade21_0.jpg"
"412","Klemenskervej 14","3760","Gudhjem","55.214014","14.892829","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Rø busholdeplads
Regional cykelrute 23
Åbningsperiode: Åbent","Bornholm","sites/default/files/images/475/2017/06/ro.jpg"
"443","Kæmpestranden 14","3770","Allinge","55.277768","14.803172","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Allinge Havn ved Netto.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/kaempestranden14_0.jpgsites/default/files/images/475/2017/06/kaempestrandeninde_0.jpg"
"393","Laksetorvet 3","3700","Rønne","55.104260","14.699400","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Gågaden.
Åbningsperiode: hele året.
Åbningstider: automatisk døråbning og dørlås med ur. 1. maj til 1. okt. kl. 7:00 - 22:00. Fra 1. okt. til 1. maj kl. 7:00 - 19:00.","Bornholm","sites/default/files/images/475/2017/06/laksetorvet_0.jpg"
"446","Lisegårdsvejen 2A","3730","Nexø","55.080459","15.100614","Handicap","Nej","Nej","Ved ikke","Nej","Ja","Placering: P-plads ved Lisegård, Paradisbakkerne.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/lisegardsvejenparadisbakkerne2a1_0.jpg"
"418","Melstedvej 39A","3760","Gudhjem","55.194325","14.988011","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Kobbe strand, Melsted
National cykelrute 10
Åbningsperiode: Åbent","Bornholm","sites/default/files/images/475/2017/06/melstedvej.jpg"
"715","Nordre Kystvej 19","3700","Rønne","55.103968","14.694745","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Ndr. Kystvej/Nørrekås
National cykelrute 10
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/ndrkystvej.jpg"
"426","Nybyvej 2A","3720","Åkirkeby","55.070286","14.919954","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: busholdeplads ved Kirkepladsen.
Åbningsperiode: hele året.
Åbningstider: Dørlås med ur. Fra 1. maj til 1. okt. kl. 7:00 - 22:00.
1. okt. til 1. maj kl. 7:00 - 19:00.","Bornholm",""
"714","Nyker hovedgade 31B","3700","Rønne","55.139925","14.765005","Handicap","Nej","Nej","Nej","Ja","Ja","Placering Nyker busholdeplads
Regional cykelrute 23
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/nyker.jpg"
