FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,handicapadgang,status,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_andre_kk.30,30,Vanløse Idrætspark,Klitmøllervej 20,2720 Vanløse,Toilet,Nej,IDrift,718554.44981563,6176656.35365035,12.47696332,55.6863876,POINT (12.476963324919387 55.68638763058744)
toilet_puma_agg_andre_kk.31,31,Kalvebod Bølge,Kalvebod Brygge 7,1560 København V,Toilet med handicapadgang,Ja,IDrift,724719.5337299,6174900.84072355,12.57339478,55.6678304,POINT (12.573394776482031 55.66783043607126)
toilet_puma_agg_andre_kk.32,32,Kløvermarkens Idrætsanlæg,Kløvermarksvej 50,2300 København S,Toilet,Nej,IDrift,726889.56980815,6175508.50364812,12.60832749,55.67227129,POINT (12.608327489503088 55.67227132417181)
toilet_puma_agg_andre_kk.33,33,Vesterbro Bibliotek,Lyrskovgade 4,1758 København V,Toilet,Nej,IDrift,722853.9698118,6174804.63365104,12.5437152,55.66782679,POINT (12.543715195817608 55.667826827019155)
toilet_puma_agg_andre_kk.34,34,Borgerservice Bispebjerg,Lærkevej 18,2400 København NV,Toilet,Nej,IDrift,721765.35981277,6178462.97364645,12.52939873,55.70113419,POINT (12.529398729847934 55.701134225469566)
toilet_puma_agg_andre_kk.35,35,Vanløse Hallerne,Lønstrupvej 5,2720 Vanløse,Toilet,Nej,IDrift,718823.2398154,6176606.7136503,12.48119104,55.68582133,POINT (12.481191036027887 55.68582136178496)
toilet_puma_agg_andre_kk.36,36,Modtagelsen,Matthæusgade 1,1666 København V,Toilet,Nej,IDrift,723387.51981132,6175051.68365045,12.55238215,55.66979738,POINT (12.552382145098887 55.669797415416824)
toilet_puma_agg_andre_kk.37,37,Modtagelsen,Matthæusgade 1,1666 København V,Toilet,Nej,IDrift,723387.51981132,6175051.68365045,12.55238215,55.66979738,POINT (12.552382145098887 55.669797415416824)
toilet_puma_agg_andre_kk.38,38,Sundhedshus Nørrebro/Bispebjerg,Mimersgade 41,2200 København N,Toilet,Nej,IDrift,722959.7998117,6178290.08364614,12.54822683,55.69903641,POINT (12.548226834570679 55.699036447755596)
toilet_puma_agg_andre_kk.39,39,Nikolaj Kunsthal,Nikolaj Plads 10,1067 København K,Toilet,Nej,IDrift,725164.38980971,6176146.00364809,12.58147442,55.67879093,POINT (12.58147441835975 55.67879096013473)
toilet_puma_agg_andre_kk.40,40,Islands Brygges Bibliotek,Njalsgade 13,2300 København S,Toilet,Nej,IDrift,725064.3498098,6174795.57365002,12.57877965,55.66672679,POINT (12.578779647823342 55.666726823408254)
toilet_puma_agg_andre_kk.41,41,Havnebadet Sluseholmen,Ben Websters Vej 69; Ben Websters Vej 69 ,2450 København SV,Toilet med handicapadgang,Ja,IDrift,723621.01665664,6172461.58323722,12.5539796,55.64646158,POINT (12.553979596339179 55.64646161080047)
toilet_puma_agg_andre_kk.42,42,Borgerservice Indre By,Nyropsgade 1,1602 København V,Toilet,Nej,IDrift,723926.55981083,6176235.55364855,12.5619013,55.68016627,POINT (12.561901295421904 55.680166302131546)
toilet_puma_agg_andre_kk.43,43,Arbejdsmarkedscenteret (AMC),Nyropsgade 41A,1602 København V,Toilet,Nej,IDrift,723896.20981086,6175842.68364911,12.56109908,55.67665698,POINT (12.561099078927933 55.67665701454342)
toilet_puma_agg_andre_kk.44,44,Emdrup Idrætspark,Nøkkerosevej 23,2400 København NV,Toilet,Nej,IDrift,721897.81981266,6181213.67364256,12.53373122,55.7257427,POINT (12.533731220981938 55.7257427290335)
toilet_puma_agg_andre_kk.45,45,Nørrebrohallen,Nørrebrogade 208,2200 København N,Toilet,Nej,IDrift,722628.19592767,6178330.37083662,12.54299367,55.69954994,POINT (12.542993672632434 55.69954997192134)
toilet_puma_agg_andre_kk.46,46,Sundbyøsterhal # 2,Parmagade 4,2300 København S,Toilet,Nej,IDrift,727283.69980779,6173315.74365098,12.61276752,55.65242336,POINT (12.612767519966154 55.65242338923857)
toilet_puma_agg_andre_kk.47,47,Sundbyøsterhal,Parmagade 8,2300 København S,Toilet,Nej,IDrift,727315.98980776,6173289.423651,12.61325788,55.65217223,POINT (12.613257875109696 55.65217226673647)
toilet_puma_agg_andre_kk.48,48,Solvang Bibliotek,Remisevej 14,2300 København S,Toilet,Nej,IDrift,726218.24980876,6172847.62365216,12.59548406,55.64872228,POINT (12.595484064632684 55.648722308889404)
toilet_puma_agg_andre_kk.49,49,Udliciteret,Ruten 2,2700 Brønshøj,Toilet,Nej,IDrift,719337.80981494,6180311.71364493,12.49232561,55.7188182,POINT (12.492325606586501 55.71881823164219)
toilet_puma_agg_andre_kk.50,50,"Huset-KBH, stue-etagen",Rådhusstræde 13,1466 København K,Toilet,Nej,IDrift,724754.12981008,6175859.46364868,12.57472842,55.67641127,POINT (12.574728423807803 55.67641130417639)
toilet_puma_agg_andre_kk.51,51,Hillerødgade Bad og Hal,Sandbjerggade 35 ,2200 København N,Toilet,Nej,IDrift,722429.36981218,6178003.51364679,12.53957102,55.69670977,POINT (12.539571021466134 55.696709802780234)
toilet_puma_agg_andre_kk.52,52,Ungecenteret (JKU),Skelbækgade 4,1717 København V,Toilet,Nej,IDrift,723630.0698111,6174818.86365066,12.55604134,55.66759785,POINT (12.556041339000672 55.667597882364575)
toilet_puma_agg_andre_kk.53,53,Sundby Bad,Sundbyvestervej 50,2300 København S,Toilet,Nej,IDrift,726635.41980838,6172615.95365228,12.6019089,55.64645048,POINT (12.60190890242545 55.646450508474885)
toilet_puma_agg_andre_kk.54,54,Arbejdsmarkedscenteret (AMC),Sundholmsvej 22,2300 København S,Toilet,Nej,IDrift,726191.09980878,6174200.38365029,12.59616671,55.66086612,POINT (12.596166709462839 55.66086615573668)
